"Year","New.Panel","Old.Panel","PIT","FYC","Conditions","RX","Events","Jobs","PRP","Longitudinal","DV","OM","IP","ER","OP","OB","HH"
1996,"1","-","hc001","h12","h06r","hc10a","h10*f1","hc007","h24","h23","hc10bf1","hc10cf1","hc10df1","hc10ef1","hc10ff1","hc10gf1","hc10hf1"
1997,"2","1","hc005xf","h20","h18","h16a","h16*f1","hc19","h47f1","h35","hc16bf1","hc16cf1","hc16df1","hc16ef1","hc16ff1","hc16gf1","hc16hf1"
1998,"3","2","hc009xf","h28","h27","h26a","h26*f1","h25","h47f2","h48","hc26bf1","h26cf1","h26df1","h26ef1","h26ff1","h26gf1","h26hf1"
1999,"4","3","hc013xf","h38","h37","h33a","h33*","h32","h47f3","h58","h33b","h33c","h33d","h33e","h33f","h33g","h33h"
2000,"5","4","h22","h50","h52","h51a","h51*","h40","h47f4","h65","h51b","h51c","h51d","h51e","h51f","h51g","h51h"
2001,"6","5","h34","h60","h61","h59a","h59*","h56","h57","h71","h59b","h59c","h59d","h59e","h59f","h59g","h59h"
2002,"7","6","h53","h70","h69","h67a","h67*","h63","h66","h80","h67b","h67c","h67d","h67e","h67f","h67g","h67h"
2003,"8","7","h64","h79","h78","h77a","h77*","h74","h76","h86","h77b","h77c","h77d","h77e","h77f","h77g","h77h"
2004,"9","8","h75","h89","h87","h85a","h85*","h83","h88","h98","h85b","h85c","h85d","h85e","h85f","h85g","h85h"
2005,"10","9","h84","h97","h96","h94a","h94*","h91","h95","h106","h94b","h94c","h94d","h94e","h94f","h94g","h94h"
2006,"11","10","h93","h105","h104","h102a","h102*","h100","h103","h114","h102b","h102c","h102d","h102e","h102f","h102g","h102h"
2007,"12","11","h101","h113","h112","h110a","h110*","h108","h111","h122","h110b","h110c","h110d","h110e","h110f","h110g","h110h"
2008,"13","12","h109","h121","h120","h118a","h118*","h116","h119","h130","h118b","h118c","h118d","h118e","h118f","h118g","h118h"
2009,"14","13","h117","h129","h128","h126a","h126*","h124","h127","h139","h126b","h126c","h126d","h126e","h126f","h126g","h126h"
2010,"15","14","h125","h138","h137","h135a","h135*","h133","h136","h148","h135b","h135c","h135d","h135e","h135f","h135g","h135h"
2011,"16","15","h134","h147","h146","h144a","h144*","h142","h145","h156","h144b","h144c","h144d","h144e","h144f","h144g","h144h"
2012,"17","16","h143","h155","h154","h152a","h152*","h150","h153","h164","h152b","h152c","h152d","h152e","h152f","h152g","h152h"
2013,"18","17","h151","h163","h162","h160a","h160*","h158","h161","h172","h160b","h160c","h160d","h160e","h160f","h160g","h160h"
2014,"19","18","h159","h171","h170","h168a","h168*","h166","","","h168b","h168c","h168d","h168e","h168f","h168g","h168h"
2015,"20","19","h167","","","","","h176","","","","","","","","",""
